id,firstname,lastname,email,email2,profession,Field Name
215,610.29,140.55,964.97,877.36,1986-04-25,465
216,455.14,53.22,831.76,873.9,1911-12-27,869
217,542.84,783.73,925.19,910.64,1957-12-05,508
218,864.69,511.8,275.12,311.47,1908-11-02,807
219,60.39,512.16,683.23,737.53,2017-07-13,771
220,706.91,67.98,601.47,949.25,1978-10-01,554
221,468.03,290.69,131.93,149.73,1900-02-22,506
222,623.56,438.09,387.34,541.35,1906-08-22,882
223,236.34,416.73,589.82,140.88,2017-04-20,284
224,188.79,932.31,569.7,831.79,1992-01-03,78
225,313.71,200.16,407.45,488.55,1904-03-26,603
226,579.77,602.64,242.3,483.07,1992-01-06,27
227,723.63,373.57,762.43,147.47,1911-02-06,82
228,122.18,268.94,102.02,654.48,2004-04-26,604
229,374.21,277.7,754.58,229.96,1930-10-04,86
230,148.15,978.35,802.54,825.99,2018-03-07,351
231,94.05,36.19,603.31,396.87,1950-05-17,75
232,809.34,153.28,610.42,839.96,1906-03-30,67
233,817.69,403.18,942.83,258.51,1982-01-02,230
234,805.67,90.97,359.52,969.21,1958-12-05,823
235,680.5,791.2,576.03,829.81,1925-03-05,103
236,140.89,928.86,812.89,157.12,1908-12-15,442
237,129.86,469.15,957.84,586.17,1958-05-23,55
238,934.83,533.46,653.96,892.94,1952-09-06,731
239,689.83,58.94,133.71,551.78,1916-12-04,591
240,163.49,581.05,5.92,684.7,1915-12-18,14
241,856.46,662.86,380.24,57.68,1926-08-29,604
242,526.01,831.76,988.09,857.19,1988-03-04,45
243,988.02,352.14,163.86,548.05,1979-08-13,958
244,41.03,958.88,36.93,741.84,1952-05-11,98
245,536.79,688.7,144.83,680.95,1927-06-22,75
246,703.64,247.41,78.64,263.84,1927-06-01,603
247,435.94,506.7,390.3,13.5,2016-10-12,65
248,298.07,717.7,947.11,276,2000-12-22,50
249,343.49,780.13,840.63,943.56,1902-11-17,915
250,380.69,234.27,150.84,28.98,1964-03-02,431
251,624.32,225.83,858,957.57,2016-01-16,763
252,803.2,768.72,72.83,523.87,1964-07-29,974
253,847.71,701.26,492.3,983.65,1907-04-26,740
254,481.07,311.64,938.8,55.58,1959-04-14,166
255,500.34,701.07,554.56,546.56,1951-08-21,523
256,416.41,626.14,117.68,13.63,2008-06-25,410
257,207.74,429.66,340.59,398.27,2007-01-08,415
258,88.61,653.79,294.06,81.06,1931-01-06,250
259,398.12,135.64,769.87,721.8,1936-12-26,87
260,652.65,604.77,653.84,671.54,1970-02-01,290
261,523.66,715.12,493.58,388.9,1968-09-22,64
262,910.41,939.12,517.58,984.58,1901-10-04,812
263,834.24,43.19,195.83,360.26,1901-06-17,576
264,159.13,904.09,532.15,685.67,1998-06-20,9
265,420.68,389.37,665.7,61.94,1932-01-10,251
266,842.72,981.97,404.99,671.7,1944-01-28,999
267,122.32,769.87,308.02,693.15,1944-03-01,228
268,258,888.84,931.42,415.79,1995-11-04,734
269,305.71,986.17,508.72,517.55,1923-03-16,162
270,856.89,375.89,460.47,372.18,1955-05-23,940
271,420.43,464.38,992.26,245.67,1950-05-27,803
272,569.81,797.64,51.39,19.9,1900-04-12,480
273,107.82,887.98,457.25,960.25,1952-11-23,386
274,241.79,558.2,448.25,883.8,1965-06-13,158
275,543.23,367.11,389.13,392.82,1923-03-01,580
276,217.83,230.47,600.87,474.59,1985-08-02,947
277,945.2,895.42,158.89,534.84,1979-07-13,674
278,199.57,643.35,219.06,497.8,1995-12-03,995
279,59.4,5.29,354.11,949.09,1915-08-01,161
280,604.16,388.15,405.18,616.57,1990-07-12,698
281,804.08,44.35,415.9,921.18,1939-05-24,269
282,80.9,718.79,94.91,273.81,1988-12-29,855
283,169.28,474.12,97.74,320.78,1925-07-20,921
284,765.07,295.91,486.8,839.76,1977-08-19,299
285,63.6,947.72,187.49,556.3,1958-11-21,940
286,83.26,545.83,790.58,127.19,1928-08-15,789
287,809.68,449.08,161.23,176,1906-08-21,539
288,955.74,181.35,195.19,981.13,1937-09-13,73
289,957.55,321.2,298.98,239.47,2010-07-20,778
290,424.82,615.45,588.37,693.3,1902-12-05,170
291,396.59,286.84,561.1,410.84,1939-06-22,130
292,904.11,392.16,435.93,593.58,1937-10-02,542
293,377.2,193.66,135.32,620.83,1971-08-05,74
294,918.69,227.98,810.66,431.2,1938-12-20,284
295,754.82,603.35,91.4,763.89,1925-05-04,135
296,623.43,641.25,534.52,330.82,2019-04-28,208
297,849.76,949.61,185.66,983.74,1951-11-10,534
298,19.29,584.63,441.52,187.51,1937-08-15,587
299,548.16,705.82,775.57,444.41,1914-02-14,235
300,193.78,813.72,916.5,796.99,1914-08-15,285
301,577.25,782.07,36.74,178.52,1992-09-08,19
302,864.76,706.67,406.25,789.82,2013-01-07,281
303,322.73,274.93,987.74,194.05,1969-09-13,524
304,197.28,500.51,918.42,205.8,1960-11-12,706
305,805.64,391,63.75,185.93,1940-05-06,631
306,901.86,6.17,558.8,804.81,1906-03-30,689
307,298.66,826.93,167.91,701.46,2003-12-26,177
308,699.57,874.29,625.14,122.94,1975-04-06,621
309,175.85,101.87,533.6,74.68,2010-11-22,437
310,63.59,365.25,993.51,308.76,1906-08-31,71
311,347.03,286.11,920.88,771.73,1995-06-19,349
312,205.02,315.35,199.46,507.21,1966-02-11,764
313,329.54,128.14,883.68,930.57,2012-10-11,115
314,890.22,525.34,37.74,416.25,2009-03-01,733
315,552.93,935.28,567.27,392.55,1995-11-01,584
316,995.69,875.34,950.75,749.39,1901-10-19,823
317,448,82.82,31,81.81,1956-03-13,264
318,987.91,651.83,54.84,479.98,1984-05-13,206
319,12.9,229.77,508.88,224.85,1901-06-20,550
320,427.64,71.12,357.61,389.37,1990-05-26,262
321,486.38,205.62,419.31,304.81,1986-05-22,954
322,203.46,66.04,60.55,597.47,1901-09-07,98
323,863.48,990.58,493.03,140.71,1928-10-30,345
324,95.32,96.76,371.69,807.45,1934-07-13,874
325,122.98,737.79,811.66,358.58,1967-12-17,669
326,151.47,593.77,617.06,634.36,1929-02-01,253
327,800.75,980.6,228.5,897.26,1965-05-26,651
328,217.67,766.24,910.79,756.9,1908-03-25,853
329,860.46,389.97,773.43,855.02,2014-01-07,946
330,971.64,773.52,526.51,905.33,1959-05-08,607
331,672.26,929.2,896.53,307.83,1905-09-28,471
332,210.35,906.3,275.16,258.55,1960-11-02,600
333,343.84,797.63,942.89,297.79,1992-05-03,588
334,842.64,42.12,194.18,464.52,1965-12-04,552
335,339.06,351.2,45.65,721.03,1977-03-04,571
336,899.08,642.09,379.37,475.2,1988-07-19,113
337,584.72,740.73,699.9,328.08,1993-04-22,290
338,335.86,773.32,450.27,695.18,1958-02-26,269
339,641.89,202.7,452.87,738.7,2000-05-01,232
340,692.98,948.44,580.87,226.03,2013-12-25,505
341,917.51,619.08,305.26,450.97,1921-12-28,649
342,425.92,111.95,36.61,234.66,1931-02-09,844
343,249.7,679.78,913.13,486.92,1955-10-10,404
344,807.04,708.83,959.62,923.46,1971-03-04,444
345,794.28,287.56,207.14,395.12,2016-09-02,880
346,881.8,223.04,945.04,941.01,1952-09-16,790
347,50.67,859.72,667.11,999.08,1945-08-14,661
348,393.1,277.09,826.91,256.26,1962-10-21,504
349,344.05,965.77,628.76,551.73,1907-09-18,613
350,835.86,581.19,424.6,283.85,1980-03-19,683
351,440.52,86.95,506.61,301.98,1975-10-21,982
352,473.12,336.59,343.53,197.53,1954-03-11,735
353,69.36,103.06,859.59,237.76,2011-11-10,540
354,568.58,94.82,48.26,227.38,2005-06-11,547
355,208.59,467.81,94.97,817.15,1939-12-21,650
356,742.23,56.91,759.34,48.59,1989-08-06,164
357,599.13,540.39,617.59,879,1983-12-29,943
358,721.92,901.1,330.97,652.04,1926-08-13,658
359,65.69,134.81,421.95,122.16,1952-05-03,642
360,888.02,629.49,138.65,294.79,1964-07-21,417
361,161.01,147.4,878.03,346.69,2006-09-17,776
362,614.51,691.19,618.33,5.1,1934-07-05,74
363,573.43,256.95,178.02,788.81,1999-02-28,549
364,508.8,628.37,298.73,743.95,2014-12-28,623
365,770.93,546.91,343.4,291.72,1909-06-28,116
366,987.44,536.15,14.44,446.35,1911-01-30,786
367,459.08,485.74,551.76,857.87,1972-11-29,412
368,190.06,882.32,675.9,506.39,1982-10-07,323
369,687.81,2.27,237.65,391.43,1956-10-15,70
370,866.84,464.72,621.06,274.95,1928-02-17,430
371,663.87,387.9,195.89,16.74,1967-06-09,503
372,90.37,355.74,340.89,135.11,1942-08-06,918
373,223.74,597.69,716.59,801.46,2005-05-18,930
374,27.25,65.33,395.7,558.96,1966-02-04,168
375,479.15,326.6,982.87,413.03,1933-04-21,779
376,65.09,2.84,152.49,40.36,1943-08-07,17
377,479.15,728.94,863.25,961.09,2013-01-10,834
378,684.06,894.17,599.68,526.98,1996-03-29,657
379,321.89,597.36,19.84,502.24,1977-04-03,110
380,892.73,492.44,978.36,747.39,1997-09-08,22
381,536.47,711.41,47.69,361.02,1900-08-04,430
382,797.59,437.53,66.1,911.72,1940-10-27,847
383,109.23,627.89,334.76,424.75,2004-02-27,12
384,589.35,999.78,360.02,740.8,1991-04-13,734
385,771.45,91.04,526.4,173.35,1902-10-16,124
386,478.18,78.54,766.83,114.67,1900-05-04,254
387,509.13,650.22,181.65,250.43,1957-11-04,196
388,361.79,579.18,188.27,581.08,2004-02-14,301
389,247.9,611.27,47.2,345.63,1971-03-30,587
390,465.87,54.94,582.74,47.65,1913-05-24,360
391,408.36,861.71,376.49,172.3,1966-08-04,683
392,284.25,122.79,939.06,130.35,2017-07-15,276
393,586.48,218.47,11.43,308.48,1966-03-20,836
394,119.67,653.84,451.32,829.88,1985-09-04,535
395,843.66,66.05,664.08,997.41,1940-06-08,462
396,142.92,220.89,729.84,739.29,1907-10-05,833
397,968.04,687.9,316.97,951.4,1994-10-27,754
398,409.51,111.7,786.86,640.25,2000-10-29,714
399,886.76,672.51,104.62,960.54,2001-08-04,110
400,526.23,256.44,659.54,905.46,2000-08-30,715
401,525.48,523.07,243.38,493.73,1985-06-30,285
402,943.72,507.9,782.24,447.68,2000-12-15,806
403,276.56,551.66,772.39,949.3,1984-03-23,875
404,741.28,240.26,49.1,828.78,1994-05-11,905
405,94.59,135.78,282.31,562.1,1978-07-04,127
406,775.03,788.78,59.45,213.34,1999-11-07,474
407,991.6,779.05,846.24,743.21,1960-11-10,547
408,383.8,477.87,620.35,969.04,1920-02-11,852
409,3.75,865.82,676.02,530.52,1976-10-13,133
410,879.45,994.04,4.94,688.76,1900-08-12,472
411,510.7,732.21,985.54,710.33,1918-02-14,863
412,983.99,596.38,666.5,125.31,1955-07-12,759
413,829.58,825.63,964.45,387.07,1996-03-07,343
414,539.67,553.47,313.05,484.36,1916-04-10,131
415,432.09,541.23,817.95,570.37,1948-12-26,318
416,125.72,854.09,348.99,572.26,1973-05-04,459
417,668.46,842.45,176.09,943.31,1914-02-04,281
418,695.17,247.05,59.68,629.73,2019-04-22,33
419,712.17,170.25,245.9,93.32,1934-08-26,502
420,533.2,868.52,104.64,121.63,1929-06-25,252
421,319.47,59.84,477.75,633.04,1963-08-31,144
422,585.41,843.98,100.32,995.24,1939-01-29,795
423,791.58,834.25,94.49,999.36,1962-12-08,433
424,661.6,323.1,231.31,322.54,1948-11-09,996
425,692.43,482.38,979.33,857.55,1961-06-06,799
426,799.61,768.46,106.81,870.19,1958-09-27,584
427,500.22,166.91,836.69,934.47,1986-10-05,269
428,747.68,172.88,689.46,968.99,2016-03-28,83
429,467.3,149.95,233.58,417.26,1969-07-05,113
430,772.15,762.91,277.24,584.81,1960-03-25,535
431,533.78,55.75,134.78,449.23,1920-07-31,803
432,105.71,62.7,820.79,233.14,2009-12-29,928
433,210.33,750.16,295.33,422.93,1989-07-19,854
434,962.38,835.4,799.49,929.17,1916-08-23,927
435,988.72,970.7,143.24,421.45,1974-02-18,711
436,754.96,42.76,209.4,723.05,1952-04-13,916
437,712.88,138.14,602.35,533.29,1952-12-22,933
438,507.88,130.56,929.15,721.16,1953-06-23,593
439,842.86,149.54,346.84,721.94,2012-11-01,346
440,639.74,720.36,20.63,753.97,2012-09-06,18
441,150.09,115.23,210.49,344.83,1911-01-01,401
442,674.83,153.8,916.76,444.95,1953-11-27,454
443,609.72,360.91,421.85,691.67,1957-11-05,701
444,553.26,863.03,257.2,454.28,2016-06-12,353
445,436.95,715.21,424.23,255.53,2005-06-27,744
446,771.92,291.58,185.43,932.34,1931-05-21,853
447,252.54,616.48,279.19,256.54,1906-02-15,294
448,512.89,842.88,777.57,106.21,1971-06-29,659
449,680.36,756.04,321.46,703.5,1965-01-21,709
450,677.4,516.65,632.58,623.21,1913-12-22,336
451,843.97,389.68,757.59,648.01,1974-06-12,495
452,761.13,102.31,804.63,313.12,2013-05-22,812
453,4.66,179.87,450.66,970.18,2006-01-06,106
454,64.47,518.96,598.9,956.16,1994-08-19,436
455,710.68,316.68,156.66,764.68,1937-11-08,7
456,689.39,265.95,498.39,304.32,1923-02-14,239
457,762.21,112.87,890.5,459.74,1996-09-08,483
458,746.61,314.42,977.35,80.03,1960-06-05,742
459,684.18,937.17,515.74,960.8,1949-05-25,597
460,762.07,875.21,619.2,870.4,1943-03-04,561
461,781.76,297.33,305.38,148.68,2009-09-06,993
462,296.12,614.74,208.65,79.6,1977-08-01,328
463,549.2,30.31,173.95,452.38,1934-05-06,160
464,393.34,575.67,780.38,136.75,1984-01-12,839
465,6.54,704.76,437.26,827.7,1971-05-15,796
466,186.47,498.08,803.67,333.41,1987-08-13,497
467,234.33,895.85,855.12,304.19,1930-08-21,450
468,385.33,344.08,149.06,545.67,1940-09-17,527
469,667.78,739.01,78.07,216.68,1963-05-30,444
470,154.93,316.44,419.74,665.56,2013-08-25,759
471,96.78,983.35,494.4,677.98,1914-06-01,489
472,387.22,92.07,20.93,669.09,2006-10-18,71
473,20.64,124.76,541.73,760.06,1986-03-30,288
474,251.61,727.73,877.54,908.83,2008-08-10,903
475,673.89,94.05,304.23,921.86,1953-02-06,140
476,258.05,42.73,957.26,853.27,2012-04-16,372
477,262.94,302.34,818.47,443.4,1902-04-29,134
478,423.45,840.4,664.73,167.66,1916-12-09,454
479,276.95,941.21,591.86,590.16,1907-10-26,1000
480,629.79,172.26,947.25,915.08,1932-08-17,708
481,148.27,501.8,482.8,188.95,1990-10-18,942
482,944.57,626.54,834.45,266.05,1971-04-21,109
483,296.52,740.93,940.31,560.37,2006-07-12,165
484,125.04,656.37,687.18,497.61,2007-08-17,955
485,800.11,426.37,201.98,460.65,2005-11-07,794
486,689.4,614.89,659.58,758.21,1986-06-09,266
487,360.99,318.22,165.8,168.48,1995-04-11,569
488,365.39,651.28,388.2,702.06,1945-08-07,484
489,635.26,132.78,298.89,322.54,1998-04-03,89
490,738.9,985.07,379.86,692.19,1976-09-29,681
491,837.74,610.83,862.47,321.75,1977-11-18,890
492,621.37,560.49,867,80.84,1913-05-20,4
493,386.19,527.61,241.33,570.28,1961-04-18,445
494,464.87,532.24,702.27,707.83,1933-09-03,137
495,307.5,349.56,284.64,427.42,1921-11-01,635
496,906.98,892.08,670.56,564.62,1922-06-21,260
497,155.21,564.5,332.76,81.04,1952-11-16,708
498,830.04,271.51,233.4,821.05,2013-06-19,141
499,115.86,424.81,839.99,669.97,2009-11-14,819
500,158.7,767.41,706.81,46.58,2007-12-07,896
501,42.91,704.81,909.4,339.27,1922-05-05,475
502,639.93,979.72,830.91,545.32,1962-08-12,690
503,113.78,255.63,170.43,397.39,1977-10-01,302
504,612.36,963.58,833.01,284.66,1900-01-03,552
505,953.76,240.61,690.47,561.12,1951-07-24,211
506,942.22,612.4,769.83,241.61,2015-10-21,811
507,892.39,535.11,422.41,355.45,1956-12-28,767
508,170.42,896.56,225.93,253.54,2016-02-18,978
509,755.45,956.62,725.77,106.81,1914-10-19,574
510,417.83,299.18,740.2,38.06,1934-05-04,427
511,840.49,541.87,392.9,166.29,1915-05-13,957
512,109.66,540.94,130.98,379.95,2011-04-30,631
513,7.67,904.51,824.55,424.27,1910-06-14,757
514,398.12,617.77,333.72,508.31,1999-06-30,127
515,479.55,572.07,27.79,257.98,1920-06-16,753
516,652.61,826.08,386.17,125.4,1929-10-28,751
517,843.48,993.48,44.13,863.23,2007-12-23,339
518,466.1,818.12,421.36,882.54,1935-09-22,86
519,641.81,817.8,498.39,245.34,1915-10-21,223
520,53.66,447.12,625.49,303.45,1912-03-12,67
521,367.69,931.2,707.56,187.47,2014-06-02,492
522,196.06,775.54,900.55,335.92,1921-11-04,851
523,574.63,895.28,550.72,453.09,2016-10-12,86
524,796.2,51.12,950.22,155.56,1936-10-01,787
525,64.08,773.69,929.25,654.57,1993-09-01,302
526,500.32,282.93,121.91,563.18,1933-03-24,414
527,869.67,567.74,160.97,494.03,1901-02-16,827
528,849.32,929.04,683.07,501.91,1903-04-15,767
529,466.65,133.55,595.5,445.02,1931-04-10,335
530,468,693.28,150.17,356.1,1920-07-14,815
531,906.79,671.9,871.37,420.81,1931-08-07,396
532,764.38,694.13,177.99,950.65,1981-01-27,538
533,161.87,742.1,797.54,637.87,1912-01-10,543
534,535.66,563.52,723.33,709.62,1986-03-22,67
535,509.45,4.2,471.91,218.65,1963-02-19,338
536,395.92,263.56,614.07,139.95,1960-05-16,340
537,636.17,84.15,261.77,636.84,1956-01-18,543
538,534.77,426.81,482,825.86,1967-10-08,932
539,112.57,164.91,748.12,699.7,2018-02-19,815
540,884.31,98.33,537.73,367.97,1922-03-26,846
541,786.31,377.55,200.95,197.91,2008-02-02,869
542,37.83,218.66,786.1,217.93,1985-10-18,746
543,125.69,705.82,766.15,127.91,1976-07-30,302
544,630.52,449.09,70.09,400,1945-06-26,730
545,910.71,835.28,45.02,868.08,1947-01-09,415
546,356.28,565.55,69.44,808.13,2006-11-30,82
547,825.96,120.96,96.52,945.62,1902-06-05,440
548,916.59,534.99,367.92,227.4,2004-03-25,896
549,488.43,279.72,980.86,912.45,1938-03-15,782
550,152.12,495.88,185.41,88.99,1987-03-08,860
551,632.18,688.69,132.06,335.16,2007-08-28,425
552,359.56,502.66,342.39,859.91,2007-01-28,400
553,540.21,188.85,940.17,779.94,1938-01-28,206
554,181.25,368.35,928.06,420.13,1967-08-05,288
555,465.25,951.31,630.31,572.96,1953-08-19,2
556,798.82,799.7,89.71,294.66,2012-06-01,615
557,410.49,312.33,453.7,334.12,2001-01-10,399
558,587.78,291.93,903.77,118.14,1911-06-07,537
559,74.89,666.88,113.52,360.76,1939-05-19,578
560,882.54,624.92,208.96,433.44,1927-10-10,137
561,569.98,461.46,679.76,994.91,2016-04-07,441
562,704.39,146.62,168.88,992.08,1947-09-07,975
563,40.73,97.36,884.15,545.59,1950-02-05,659
564,117.6,685.05,66.1,725.81,1931-09-04,296
565,595.95,687.95,106.47,516.8,1953-03-01,669
566,734.15,673.96,65.23,699.06,1952-07-24,828
567,765.71,503.42,348.2,698.46,1919-03-12,742
568,165.53,151.26,633.67,79.37,1990-09-11,721
569,701,358.38,253.02,237.77,1965-11-23,479
570,943.51,919.32,498.66,392.21,1983-09-19,336
571,679.95,331.05,875.21,900.93,1944-06-18,966
572,882.33,524.28,199.91,993.76,2010-06-27,305
573,172.48,801.9,489.15,139.23,1987-03-22,998
574,259.2,700.75,80.16,613.41,2002-10-07,469
575,916.42,583.37,210.79,270.25,1937-01-17,388
576,570.63,215.15,48,104.05,1981-11-11,291
577,741.73,528.51,639.54,628.69,1929-05-23,45
578,136.59,448.04,379.56,9.5,1997-08-02,71
579,261.19,71.51,587.41,110.83,1987-07-14,35
580,133.89,749.99,841.7,844.43,1998-06-05,661
581,27.35,59.73,13.38,562.27,1921-08-17,688
582,223.89,277.97,821.22,157.53,1969-05-03,107
583,441.75,439.73,644.21,566.45,1915-11-20,398
584,429.92,45.05,308.42,880.95,1944-05-13,135
585,446.04,853.32,260.53,258.36,1935-01-14,57
586,27.03,839.55,868.45,389.44,2009-12-28,130
587,823.77,265.67,28.69,72.2,1935-06-02,826
588,651.34,909,935.62,716.05,1987-02-09,875
589,96.63,789.94,504.91,472.23,1983-12-01,927
590,734.38,168.41,747.1,54.46,1946-04-28,749
591,807.85,577,192.2,987.98,1971-06-18,631
592,922.33,236.23,308.3,870.43,1954-11-04,692
593,489.44,694.23,558.81,966.15,2009-01-05,678
594,985.74,841.06,874.09,664.96,1967-04-29,71
595,330.38,8.96,165.7,300.59,1923-12-30,808
596,667.46,469.34,850.28,229.48,1924-09-09,145
597,333.61,278.33,223.43,617.08,1915-01-23,697
598,293.05,469.07,316.71,622.4,1908-12-14,461
599,840.47,413.67,412.77,38.79,2002-08-17,76
600,735.43,458.07,983.77,754.56,1922-07-02,618
601,847.48,117.16,772.77,577.95,1974-04-16,740
602,658.91,911.5,513.93,412.85,2009-06-24,661
603,554.98,835.84,120.82,109.05,1992-12-12,740
604,226.36,29.22,515.72,402.4,1917-05-10,796
605,356.62,917.23,335.68,548.23,1936-02-06,309
606,47.64,599.73,166.87,320.37,1990-04-02,129
607,915.9,396.03,992.08,570.22,1934-02-13,271
608,300.25,884.97,939.06,341.07,1976-10-23,895
609,6.3,600.26,952.66,285.95,1913-04-06,878
610,770.58,103.58,922.02,592.12,1950-02-03,543
611,865.53,623.44,916.57,750.34,2002-08-25,405
612,932.94,995.52,305.01,124.92,1963-12-11,130
613,969.23,905.79,94.75,315.78,1938-05-05,601
614,522.59,144.55,304.41,721.37,1920-06-03,232
615,495.28,402.65,208.74,440.33,1945-06-17,195
616,982.42,721.07,682.92,451.08,1935-07-03,977
617,485.44,858.46,638.3,396.65,2008-04-27,478
